abd,C_ach,C_akw,C_ata,C_kma,C_oro,C_pad,C_paj,C_pal,age,fthr_ed,mthr_ed,orphan96,hh_fthr_frm,hh_size96,educ,distress,log.wage
1,1,0,0,0,0,0,0,0,22,10,0,0,1,8,8,8.333333015,0
0,1,0,0,0,0,0,0,0,21,10,0,0,1,17,3,3.666666746,4.968820774
0,0,0,0,0,0,1,0,0,16,4,0,0,1,5,7,6.333333492,0
1,0,0,0,0,0,1,0,0,14,10,7,0,1,7,5,11.33333302,0
0,1,0,0,0,0,0,0,0,14,0,0,0,1,12,5,0,5.589742387
1,1,0,0,0,0,0,0,0,30,4,0,0,1,6,6,4,8.517393171
1,1,0,0,0,0,0,0,0,25,7,4,0,1,2,7,3.333333254,9.567085284
1,1,0,0,0,0,0,0,0,25,4,0,0,1,5,3,4,6.216606101
1,1,0,0,0,0,0,0,0,25,4,0,0,1,7,5,2.666666746,8.922791624
1,1,0,0,0,0,0,0,0,29,4,0,1,1,8,6,3.333333254,6.908754779
1,1,0,0,0,0,0,0,0,25,4,0,1,1,8,7,4.666666508,6.216606101
1,1,0,0,0,0,0,0,0,29,4,0,0,1,4,3,6,6.572682051
0,1,0,0,0,0,0,0,0,28,0,7,0,1,6,5,2,5.869130691
1,1,0,0,0,0,0,0,0,18,7,0,0,1,5,3,1,0
0,1,0,0,0,0,0,0,0,28,10,0,0,1,17,7,3.666666746,6.672632378
1,1,0,0,0,0,0,0,0,15,0,0,0,1,5,7,0,0
0,1,0,0,0,0,0,0,0,18,4,0,0,1,6,8,1.333333373,0
1,1,0,0,0,0,0,0,0,26,4,4,0,1,7,6,8.333333015,0
1,1,0,0,0,0,0,0,0,22,7,4,0,1,5,7,4.666666508,7.419180698
1,1,0,0,0,0,0,0,0,25,0,0,0,1,5,4,1,0
1,1,0,0,0,0,0,0,0,15,4,0,0,1,18,6,0.333333343,0
1,1,0,0,0,0,0,0,0,25,4,0,0,1,18,8,3.666666746,0
0,0,1,0,0,0,0,0,0,20,4,0,0,1,9,13,1.666666627,0
1,0,1,0,0,0,0,0,0,30,10,0,0,1,10,10,3,7.488133588
1,0,1,0,0,0,0,0,0,16,7,0,0,1,5,8,8,0
1,0,1,0,0,0,0,0,0,15,7,0,0,0,8,6,2,0
0,0,1,0,0,0,0,0,0,21,7,4,0,0,8,8,3,6.965857651
0,1,0,0,0,0,0,0,0,22,10,7,0,1,19,6,4,6.908754779
1,1,0,0,0,0,0,0,0,21,4,0,1,1,7,2,7.333333492,0
1,1,0,0,0,0,0,0,0,14,7,4,0,1,6,5,1.333333373,0
1,1,0,0,0,0,0,0,0,22,0,0,0,1,5,6,3,5.303304908
1,1,0,0,0,0,0,0,0,20,4,0,0,1,14,6,5,5.303304908
1,1,0,0,0,0,0,0,0,16,4,4,0,0,19,3,4,7.13169851
1,0,0,0,0,0,0,1,0,30,4,0,0,1,5,13,5.666666508,0
